mandible|jaw
abated|abate
abates|abate
abattoirs|abattoir
abbeys|abbey
abbots|abbot
abbreviate|abridge
abbreviated|abridge
abbreviates|abridge
abbreviating|abridge
abbreviations|abbreviation
abdicated|abdicate
abdicates|abdicate
abdicating|abdicate
abdomens|abdomen
abducted|abduct
abducting|abduct
abductions|abduction
abductors|abductor
abducts|abduct
aberration|aberrance
aberrations|aberrance
abets|abet
abetted|abet
abetting|abet
abhorred|abhor
abhors|abhor
abilities|ability
abjured|abjure
ablates|ablate
ablating|ablate
ablutions|ablution
abnormalities|abnormality
abolished|abolish
abolishes|abolish
abolishing|abolish
abolitionists|abolitionist
abominable|atrocious
abominate|abhor
abominated|abhor
